"Month Day, Year Code",Avg Fine Particulate Matter (ľg/mł),Typical?
2005/07/07,12.33,1
2005/07/08,10.47,1
2005/07/09,7.98,1
2005/07/10,8.51,1
2005/07/11,9.19,1
2005/07/12,10.33,1
2005/07/13,14.54,1
2005/07/14,12.23,1
2005/07/15,13.26,1
2005/07/16,15.06,1
2005/07/17,15.51,0
2005/07/18,12.48,1
2005/07/19,11.47,1
2005/07/20,9.42,1
2005/07/21,11.23,1
2005/07/22,12.37,1
2005/07/23,9.41,1
2005/07/24,10.35,1
2005/07/25,11.32,1
2005/07/26,13.48,1
2005/07/27,10.6,1
2005/07/28,10.92,1
2005/07/29,11.55,1
2005/07/30,10.18,1
2005/07/31,14.17,1
2005/08/01,10.47,1
2005/08/02,9.51,1
2005/08/03,11.61,1
2005/08/04,16.18,0
2005/08/05,12.16,1
2005/08/06,12.55,1
2005/08/07,15.04,1
2005/08/08,10.17,1
2005/08/09,10.97,1
2005/08/10,11.92,1
2005/08/11,11.58,1
2005/08/12,15.7,0
2005/08/13,12.66,1
2005/08/14,11.18,1
2005/08/15,11.35,1
2005/08/16,10.98,1
2005/08/17,11.19,1
2005/08/18,12.17,1
2005/08/19,8.74,1
2005/08/20,8.93,1
2005/08/21,11.03,1
2005/08/22,11.96,1
2005/08/23,12.94,1
2005/08/24,11.01,1
2005/08/25,12.95,1
2005/08/26,10.75,1
2005/08/27,11.51,1
2005/08/28,11.13,1
2005/08/29,9.15,1
2005/08/30,10.43,1
2005/08/31,10.73,1
2005/09/01,10.92,1
2005/09/02,13.64,1
2005/09/03,12.69,1
2005/09/04,8.5,1
2005/09/05,9.36,1
2005/09/06,11.27,1
2005/09/07,8.92,1
2005/09/08,9.03,1
2005/09/09,6.15,1
2005/09/10,7.45,1
2005/09/11,5.91,1
2005/09/12,6.58,1
2005/09/13,8.35,1
2005/09/14,10.74,1
2005/09/15,11.72,1
2005/09/16,10.17,1
2005/09/17,9.71,1
2005/09/18,9.06,1
2005/09/19,10.82,1
2005/09/20,14.58,1
2005/09/21,13.52,1
2005/09/22,13.19,1
2005/09/23,14.94,1
2005/09/24,11.07,1
2005/09/25,8.64,1
2005/09/26,13.46,1
2005/09/27,11.44,1
2005/09/28,9.05,1
2005/09/29,12.92,1
2005/09/30,15.66,0
2005/10/01,10.25,1
2005/10/02,9,1
2005/10/03,6.5,1
2005/10/04,6,1
2005/10/05,8.98,1
2005/10/06,9.29,1
2005/10/07,9.6,1
2005/10/08,8.51,1
2005/10/09,8.33,1
2005/10/10,8.95,1
